기준_년분기_코드,자치구_코드,자치구_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_률,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
20252,11440,마포구,CS300035,인테리어,174.0,174.0,1.7,3.0,1.7,3.0,0.0
20252,11440,마포구,CS300040,재생용품 판매점,51.0,51.0,2.0,1.0,0.0,0.0,0.0
20252,11305,강북구,CS300017,시계및귀금속,53.0,56.0,0.0,0.0,0.0,0.0,3.0
20252,11305,강북구,CS300019,의료기기,85.0,86.0,0.0,0.0,1.2,1.0,1.0
20252,11470,양천구,CS200010,변호사사무소,114.0,114.0,0.9,1.0,0.9,1.0,0.0
20252,11470,양천구,CS200011,변리사사무소,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20252,11470,양천구,CS200012,법무사사무소,121.0,121.0,3.3,4.0,0.0,0.0,0.0
20252,11470,양천구,CS200013,기타법무서비스,58.0,58.0,0.0,0.0,0.0,0.0,0.0
20252,11305,강북구,CS300029,애완동물,63.0,69.0,1.4,1.0,4.3,3.0,6.0
20252,11470,양천구,CS200014,회계사사무소,5.0,5.0,0.0,0.0,0.0,0.0,0.0
20252,11470,양천구,CS200015,세무사사무소,130.0,130.0,0.0,0.0,0.8,1.0,0.0
20252,11305,강북구,CS300039,모터사이클및부품,12.0,12.0,0.0,0.0,8.3,1.0,0.0
20252,11470,양천구,CS200016,당구장,143.0,143.0,0.0,0.0,2.1,3.0,0.0
20252,11470,양천구,CS200017,골프연습장,82.0,90.0,2.2,2.0,1.1,1.0,8.0
20252,11305,강북구,CS300040,재생용품 판매점,27.0,27.0,0.0,0.0,0.0,0.0,0.0
20252,11320,도봉구,CS100008,분식전문점,218.0,286.0,2.4,7.0,4.5,13.0,68.0
20252,11470,양천구,CS200018,볼링장,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20252,11470,양천구,CS200019,PC방,41.0,43.0,2.3,1.0,7.0,3.0,2.0
20252,11470,양천구,CS200030,피부관리실,308.0,317.0,6.3,20.0,3.2,10.0,9.0
20252,11470,양천구,CS200031,세탁소,182.0,240.0,0.8,2.0,1.7,4.0,58.0
20252,11320,도봉구,CS100009,호프-간이주점,323.0,360.0,2.8,10.0,4.2,15.0,37.0
